id,title,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,title_year,budget,revenue,runtime,vote_average,popularity,vote_count
526,"Savage Nights (Nuits fauves, Les)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1992,"('Savage Nights (Nuits fauves, Les)', '1992')",,,,,,
527,Schindler's List,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1993,"(""Schindler's List"", '1993')",22000000,321365567,195.0,8.3,41.725123,4436
528,"Scout, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Scout, The', '1994')",,,,,,
529,Searching for Bobby Fischer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Searching for Bobby Fischer', '1993')",0,7266383,110.0,7.3,12.048587,100
530,Second Best,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Second Best', '1994')",0,0,105.0,5.9,0.882596,8
531,"Secret Garden, The",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Secret Garden, The', '1993')",,,,,,
532,Serial Mom,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1994,"('Serial Mom', '1994')",13000000,7820688,95.0,6.4,5.305311,137
533,"Shadow, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Shadow, The', '1994')",,,,,,
534,Shadowlands,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1993,"('Shadowlands', '1993')",22000000,0,131.0,6.8,2.96586,61
535,Short Cuts,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Short Cuts', '1993')",0,6110979,187.0,6.9,8.829337,136
536,"Simple Twist of Fate, A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Simple Twist of Fate, A', '1994')",,,,,,
537,Sirens,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Sirens', '1994')",,,,,,
538,Six Degrees of Separation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Six Degrees of Separation', '1993')",0,0,112.0,6.5,8.730025,75
539,Sleepless in Seattle,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,"('Sleepless in Seattle', '1993')",21000000,227799884,105.0,6.5,10.234919,630
540,Sliver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,"('Sliver', '1993')",40000000,116300000,108.0,4.9,11.23297,144
541,Blade Runner,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1982,"('Blade Runner', '1982')",28000000,33139618,117.0,7.9,96.272374,3833
542,Son in Law,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Son in Law', '1993')",0,36448200,95.0,5.6,9.122718,81
543,So I Married an Axe Murderer,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1993,"('So I Married an Axe Murderer', '1993')",,,,,,
544,Striking Distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Striking Distance', '1993')",30,0,102.0,5.4,13.390917,223
545,Harlem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Harlem', '1993')",,,,,,
546,Super Mario Bros.,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1993,"('Super Mario Bros.', '1993')",48000000,20915465,104.0,4.0,7.198455,236
547,Surviving the Game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,"('Surviving the Game', '1994')",7400000,7690013,96.0,6.1,3.644641,53
548,Terminal Velocity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Terminal Velocity', '1994')",50000000,16478900,102.0,5.0,8.012225,82
549,Thirty-Two Short Films About Glenn Gould,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1993,"('Thirty-Two Short Films About Glenn Gould', '1993')",,,,,,
550,Threesome,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,"('Threesome', '1994')",0,0,93.0,6.3,10.82236,57
551,"Nightmare Before Christmas, The",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1993,"('Nightmare Before Christmas, The', '1993')",,,,,,
552,"Three Musketeers, The",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Three Musketeers, The', '1993')",,,,,,
553,Tombstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993,"('Tombstone', '1993')",25000000,56505065,130.0,7.4,11.338194,632
554,Trial by Jury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,"('Trial by Jury', '1994')",0,0,107.0,5.5,0.85586,5
555,True Romance,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1993,"('True Romance', '1993')",12500000,12281551,120.0,7.5,17.189328,762
556,"War Room, The",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1993,"('War Room, The', '1993')",,,,,,
557,Mamma Roma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1962,"('Mamma Roma', '1962')",0,0,106.0,7.5,2.481885,45
558,"Pagemaster, The",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1994,"('Pagemaster, The', '1994')",,,,,,
559,"Paris, France",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Paris, France', '1993')",,,,,,
560,"Beans of Egypt, Maine, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Beans of Egypt, Maine, The', '1994')",,,,,,
561,Killer (Bulletproof Heart),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,"('Killer (Bulletproof Heart)', '1994')",,,,,,
562,Welcome to the Dollhouse,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Welcome to the Dollhouse', '1995')",0,0,88.0,6.9,5.14056,103
563,Germinal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Germinal', '1993')",0,0,160.0,6.3,2.759302,43
564,Chasers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Chasers', '1994')",0,1596687,102.0,4.7,9.85327,22
565,Cronos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1992,"('Cronos', '1992')",,,,,,
566,Naked in New York,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,"('Naked in New York', '1994')",,,,,,
567,Kika,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Kika', '1993')",0,0,117.0,6.8,3.647321,58
568,Bhaji on the Beach,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Bhaji on the Beach', '1993')",,,,,,
569,Little Big League,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Little Big League', '1994')",0,0,119.0,6.0,1.960563,20
570,"Slingshot, The (K�disbellan )",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Slingshot, The (K�disbellan )', '1993')",,,,,,
571,"Wedding Gift, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Wedding Gift, The', '1994')",,,,,,
572,Foreign Student,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Foreign Student', '1994')",0,0,90.0,0.0,0.002789,0
573,"Ciao, Professore! (Io speriamo che me la cavo )",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Ciao, Professore! (Io speriamo che me la cavo )', '1993')",,,,,,
574,Spanking the Monkey,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Spanking the Monkey', '1994')",200000,0,106.0,5.3,2.799575,29
575,"Little Rascals, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Little Rascals, The', '1994')",,,,,,
576,Fausto,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Fausto', '1993')",,,,,,
577,Andre,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Andre', '1994')",0,0,94.0,5.0,3.139316,31
578,"Hour of the Pig, The",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1993,"('Hour of the Pig, The', '1993')",,,,,,
579,"Scorta, La",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,"('Scorta, La', '1993')",,,,,,
580,Princess Caraboo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Princess Caraboo', '1994')",0,3021629,97.0,4.4,1.943323,5
581,"Celluloid Closet, The",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Celluloid Closet, The', '1995')",,,,,,
582,Metisse (Caf� au Lait),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,"('Metisse (Caf� au Lait)', '1993')",,,,,,
583,Dear Diary (Caro Diario),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Dear Diary (Caro Diario)', '1994')",,,,,,
584,I Don't Want to Talk About It (De eso no se habla),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"(""I Don't Want to Talk About It (De eso no se habla)"", '1993')",,,,,,
585,"Brady Bunch Movie, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Brady Bunch Movie, The', '1995')",,,,,,
586,Home Alone,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,"('Home Alone', '1990')",18000000,476684675,103.0,7.1,0.702543,2487
587,Ghost,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1990,"('Ghost', '1990')",22000000,505000000,127.0,6.9,11.945397,1381
588,Aladdin,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1992,"('Aladdin', '1992')",28000000,504050219,90.0,7.4,16.357419,3495
589,Terminator 2: Judgment Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1991,"('Terminator 2: Judgment Day', '1991')",100000000,520000000,137.0,7.7,22.661695,4274
590,Dances with Wolves,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1990,"('Dances with Wolves', '1990')",22000000,424208848,181.0,7.6,11.654349,1084
591,Tough and Deadly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,"('Tough and Deadly', '1995')",0,0,92.0,6.3,0.426887,4
592,Batman,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1989,"('Batman', '1989')",35000000,411348924,126.0,7.0,19.10673,2145
593,"Silence of the Lambs, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1991,"('Silence of the Lambs, The', '1991')",,,,,,
594,Snow White and the Seven Dwarfs,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1937,"('Snow White and the Seven Dwarfs', '1937')",,,,,,
595,Beauty and the Beast,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1991,"('Beauty and the Beast', '1991')",25000000,377350553,84.0,7.5,23.433511,3029
596,Pinocchio,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,"('Pinocchio', '1940')",,,,,,
597,Pretty Woman,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1990,"('Pretty Woman', '1990')",14000000,463000000,119.0,7.0,13.348451,1807
598,Window to Paris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Window to Paris', '1994')",,,,,,
599,"Wild Bunch, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1969,"('Wild Bunch, The', '1969')",,,,,,
600,Love and a .45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,"('Love and a .45', '1994')",0,0,101.0,5.5,3.40523,15
601,"Wooden Man's Bride, The (Wu Kui)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"(""Wooden Man's Bride, The (Wu Kui)"", '1994')",,,,,,
602,"Great Day in Harlem, A",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,"('Great Day in Harlem, A', '1994')",,,,,,
603,"Bye Bye, Love",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Bye Bye, Love', '1995')",,,,,,
604,Criminals,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1996,"('Criminals', '1996')",,,,,,
605,One Fine Day,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('One Fine Day', '1996')",0,97529550,108.0,6.1,7.009946,160
606,Candyman: Farewell to the Flesh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995,"('Candyman: Farewell to the Flesh', '1995')",0,13940383,93.0,5.0,4.983552,64
607,Century,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('Century', '1993')",0,0,112.0,5.0,1.461029,1
608,Fargo,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Fargo', '1996')",7000000,60611975,98.0,7.7,12.61469,2080
609,Homeward Bound II: Lost in San Francisco,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Homeward Bound II: Lost in San Francisco', '1996')",0,32709423,89.0,6.0,14.657754,105
610,Heavy Metal,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1981,"('Heavy Metal', '1981')",9300000,0,90.0,6.3,7.640073,150
611,Hellraiser: Bloodline,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1996,"('Hellraiser: Bloodline', '1996')",4000000,16675000,86.0,4.9,5.263187,111
612,"Pallbearer, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Pallbearer, The', '1996')",,,,,,
613,Jane Eyre,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Jane Eyre', '1996')",0,0,112.0,7.1,2.420301,51
614,Loaded,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,"('Loaded', '1994')",,,,,,
615,Bread and Chocolate (Pane e cioccolata),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1973,"('Bread and Chocolate (Pane e cioccolata)', '1973')",,,,,,
616,"Aristocats, The",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,"('Aristocats, The', '1970')",,,,,,
617,"Flower of My Secret, The (La Flor de Mi Secreto)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Flower of My Secret, The (La Flor de Mi Secreto)', '1995')",,,,,,
618,Two Much,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,"('Two Much', '1996')",0,0,118.0,5.1,1.620174,24
619,Ed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Ed', '1996')",0,0,94.0,3.6,5.174212,24
620,Scream of Stone (Schrei aus Stein),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1991,"('Scream of Stone (Schrei aus Stein)', '1991')",,,,,,
621,My Favorite Season,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,"('My Favorite Season', '1993')",0,0,127.0,6.4,0.516924,4
623,"Modern Affair, A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Modern Affair, A', '1995')",,,,,,
624,Condition Red,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,"('Condition Red', '1995')",0,0,83.0,4.7,0.793932,3
625,Asfour Stah,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1990,"('Asfour Stah', '1990')",,,,,,
626,"Thin Line Between Love and Hate, A",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Thin Line Between Love and Hate, A', '1996')",,,,,,
627,"Last Supper, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,"('Last Supper, The', '1995')",,,,,,
628,Primal Fear,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Primal Fear', '1996')",30000000,102616183,129.0,7.4,10.326213,644
629,Rude,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Rude', '1995')",0,0,89.0,6.0,0.065827,1
630,Carried Away,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Carried Away', '1996')",,,,,,
631,All Dogs Go to Heaven 2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1996,"('All Dogs Go to Heaven 2', '1996')",0,8620678,82.0,5.0,5.028897,50
632,Land and Freedom (Tierra y libertad),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1995,"('Land and Freedom (Tierra y libertad)', '1995')",,,,,,
633,Denise Calls Up,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Denise Calls Up', '1995')",0,0,80.0,6.6,0.466476,5
634,Theodore Rex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Theodore Rex', '1995')",33500000,0,92.0,3.6,2.583686,17
635,"Family Thing, A",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Family Thing, A', '1996')",,,,,,
636,Frisk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Frisk', '1995')",,,,,,
637,Sgt. Bilko,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Sgt. Bilko', '1996')",0,0,90.0,5.5,5.70904,96
638,Jack and Sarah,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Jack and Sarah', '1995')",,,,,,
639,Girl 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Girl 6', '1996')",12000000,4939939,108.0,5.7,4.405169,17
640,Diabolique,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Diabolique', '1996')",0,0,107.0,5.4,4.530079,74
641,"Little Indian, Big City (Un indien dans la ville)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,"('Little Indian, Big City (Un indien dans la ville)', '1994')",,,,,,
642,Roula,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Roula', '1995')",0,0,97.0,5.0,0.149157,1
643,Peanuts - Die Bank zahlt alles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Peanuts - Die Bank zahlt alles', '1996')",,,,,,
644,Happy Weekend,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Happy Weekend', '1996')",0,65335,,0.0,0.002229,0
645,Nelly & Monsieur Arnaud,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Nelly & Monsieur Arnaud', '1995')",,,,,,
647,Courage Under Fire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,"('Courage Under Fire', '1996')",46000000,100860818,117.0,6.2,11.595316,240
648,Mission: Impossible,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996,"('Mission: Impossible', '1996')",80000000,457696359,110.0,6.7,15.793477,2677
649,Cold Fever (� k�ldum klaka),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Cold Fever (� k�ldum klaka)', '1994')",,,,,,
650,Moll Flanders,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Moll Flanders', '1996')",0,0,123.0,6.2,2.337263,19
651,"Superweib, Das",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Superweib, Das', '1996')",,,,,,
652,"301, 302",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,"('301, 302', '1995')",0,0,100.0,6.2,0.396626,10
653,Dragonheart,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1996,"('Dragonheart', '1996')",,,,,,
654,Und keiner weint mir nach,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Und keiner weint mir nach', '1996')",0,0,,0.0,0.439989,0
655,Mutters Courage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Mutters Courage', '1995')",,,,,,
656,Eddie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Eddie', '1996')",,,,,,
657,Yankee Zulu,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Yankee Zulu', '1994')",,,,,,
658,Billy's Holiday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""Billy's Holiday"", '1995')",0,0,92.0,0.0,0.002444,0
659,Purple Noon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1960,"('Purple Noon', '1960')",0,0,115.0,7.3,3.804493,73
660,August,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('August', '1996')",0,0,94.0,5.3,0.987434,3
661,James and the Giant Peach,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1996,"('James and the Giant Peach', '1996')",38000000,28921264,79.0,6.2,13.217623,375
662,Fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,"('Fear', '1996')",0,0,97.0,6.1,6.954926,157
663,Kids in the Hall: Brain Candy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Kids in the Hall: Brain Candy', '1996')",0,0,89.0,5.9,2.299851,26
664,Faithful,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Faithful', '1996')",13000000,9789900,91.0,4.8,1.296862,4
665,Underground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1995,"('Underground', '1995')",14000000,0,170.0,7.5,14.587894,143
666,All Things Fair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('All Things Fair', '1996')",,,,,,
667,Bloodsport 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Bloodsport 2', '1995')",,,,,,
668,Pather Panchali,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1955,"('Pather Panchali', '1955')",0,536364,125.0,7.9,3.900709,63
669,Aparajito,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1956,"('Aparajito', '1956')",0,170215,110.0,7.9,2.80051,44
670,"World of Apu, The (Apur Sansar)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1959,"('World of Apu, The (Apur Sansar)', '1959')",,,,,,
671,Mystery Science Theater 3000: The Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1996,"('Mystery Science Theater 3000: The Movie', '1996')",0,0,73.0,7.0,2.985163,71
672,Tarantella,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Tarantella', '1995')",,,,,,
673,Space Jam,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1996,"('Space Jam', '1996')",80000000,250200000,88.0,6.5,11.054251,1335
674,Barbarella,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1968,"('Barbarella', '1968')",9000000,2500000,98.0,5.7,14.304205,149
675,Hostile Intentions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,"('Hostile Intentions', '1994')",,,,,,
676,They Bite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('They Bite', '1996')",0,0,98.0,5.5,0.466991,1
678,Some Folks Call It a Sling Blade,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1993,"('Some Folks Call It a Sling Blade', '1993')",,,,,,
679,"Run of the Country, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Run of the Country, The', '1995')",,,,,,
680,Alphaville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1965,"('Alphaville', '1965')",220000,0,100.0,6.8,4.658149,100
681,Clean Slate (Coup de Torchon),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1981,"('Clean Slate (Coup de Torchon)', '1981')",,,,,,
682,Tigrero: A Film That Was Never Made,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1994,"('Tigrero: A Film That Was Never Made', '1994')",0,0,75.0,7.5,0.18343,4
683,"Eye of Vichy, The (Oeil de Vichy, L')",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1993,"(""Eye of Vichy, The (Oeil de Vichy, L')"", '1993')",,,,,,
684,Windows,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1980,"('Windows', '1980')",0,0,96.0,5.8,0.400023,9
685,It's My Party,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""It's My Party"", '1995')",,,,,,
687,Country Life,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994,"('Country Life', '1994')",,,,,,
688,Operation Dumbo Drop,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1995,"('Operation Dumbo Drop', '1995')",0,0,107.0,4.7,4.357971,37
690,"Promise, The (Versprechen, Das)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,"('Promise, The (Versprechen, Das)', '1994')",,,,,,
691,Mrs. Winterbourne,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,"('Mrs. Winterbourne', '1996')",25000000,10070000,105.0,5.5,9.1861,26
692,Solo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1996,"('Solo', '1996')",0,0,94.0,3.9,1.899069,18
693,Under the Domin Tree (Etz Hadomim Tafus),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Under the Domin Tree (Etz Hadomim Tafus)', '1994')",,,,,,
694,"Substitute, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Substitute, The', '1996')",,,,,,
695,True Crime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1995,"('True Crime', '1995')",,,,,,
696,Butterfly Kiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Butterfly Kiss', '1995')",0,0,88.0,7.4,0.877853,5
697,Feeling Minnesota,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Feeling Minnesota', '1996')",0,0,99.0,5.5,10.298582,29
698,Delta of Venus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Delta of Venus', '1994')",,,,,,
699,To Cross the Rubicon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1991,"('To Cross the Rubicon', '1991')",0,0,0.0,0.0,0.006854,0
700,Angus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Angus', '1995')",0,0,90.0,6.8,2.25008,24
701,Daens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1992,"('Daens', '1992')",,,,,,
702,Faces,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1968,"('Faces', '1968')",275000,0,130.0,7.1,7.918418,36
703,Boys,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Boys', '1996')",0,0,86.0,5.3,1.579153,11
704,"Quest, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Quest, The', '1996')",,,,,,
705,Cosi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Cosi', '1996')",0,0,102.0,7.1,0.947007,9
